tag_id,index,year,month,day,AM91,AM91,AM91,AM93,AM93,AM93,AM99,AM99,AM99
,,,,,latitude,longitude,temperature,latitude,longitude,temperature,latitude,longitude,temperature
137,274,2008,5,13,-24.389448222222224,31.76975777777778,25.955555555555556,-24.39403625,31.769062083333335,26.208333333333332,-24.38660425531915,31.703791489361702,27.106382978723403
138,275,2008,5,14,-24.397499791666664,31.786371458333335,26.979166666666668,-24.403811875000002,31.781145,26.833333333333332,-24.387209361702126,31.69389,27.851063829787233
139,276,2008,5,15,-24.38370625,31.777155208333337,27.166666666666668,-24.382050833333334,31.768107708333332,27.708333333333332,-24.400293333333334,31.683774,27.977777777777778
140,277,2008,5,16,-24.344438541666666,31.794012291666665,27.125,-24.350111219512193,31.789039268292683,27.26829268292683,-24.38688739130435,31.68842304347826,27.91304347826087
141,278,2008,5,17,-24.309901041666667,31.787071458333333,26.375,-24.311012,31.78231,27.6,-24.383037021276593,31.68763531914894,27.595744680851062
142,279,2008,5,18,-24.392920638297873,31.774969574468084,27.25531914893617,-24.397081041666667,31.770695,27.3125,-24.41203217391304,31.670900869565216,27.108695652173914
143,280,2008,5,19,-24.417368297872336,31.806081702127656,26.53191489361702,-24.422646458333332,31.800633125,26.333333333333332,-24.40294477272727,31.66727227272727,27.795454545454547
144,281,2008,5,20,-24.39283479166667,31.794941875000003,25.25,-24.39216958333333,31.794403125000002,25.3125,-24.380181041666663,31.62471875,26.1875
145,282,2008,5,21,-24.39756695652174,31.759940217391303,23.97826086956522,-24.397801860465115,31.760661860465117,23.093023255813954,-24.339808913043477,31.639699782608695,24.565217391304348
146,283,2008,5,22,-24.385637083333332,31.71193,24.270833333333332,-24.368471923076925,31.721632307692307,24.384615384615383,-24.243419787234043,31.632548936170213,26.170212765957448
147,284,2008,5,23,-24.404259166666666,31.721890208333335,24.4375,-24.4052356,31.726578,22.44,-24.245527391304346,31.64705239130435,25.065217391304348
148,285,2008,5,24,-24.425825208333332,31.7324675,24.333333333333332,-24.425249696969697,31.737066060606065,22.575757575757574,-24.283364666666667,31.69798777777778,24.733333333333334
149,286,2008,5,25,-24.414073617021277,31.72994574468085,25.93617021276596,-24.416780857142857,31.73265,25.314285714285713,-24.344082127659572,31.68235744680851,25.425531914893618
150,287,2008,5,26,-24.403680833333336,31.710213125,25.458333333333332,-24.403115135135135,31.70884783783784,25.486486486486488,-24.396155476190476,31.70110095238095,25.952380952380953
151,288,2008,5,27,-24.393255625,31.717915625,26.333333333333332,-24.395517708333333,31.711923958333333,26.770833333333332,-24.404779555555553,31.68865577777778,26.355555555555554
152,289,2008,5,28,-24.410395625000003,31.734244375,24.479166666666668,-24.412122368421052,31.735815000000002,24.07894736842105,-24.387860625000002,31.696219791666667,25.5
153,290,2008,5,29,-24.403540833333334,31.738339791666665,24.229166666666668,-24.399198000000002,31.742271714285717,25.942857142857143,-24.370853555555556,31.695260666666666,24.977777777777778
154,291,2008,5,30,-24.400083913043478,31.732857608695653,25.17391304347826,-24.402094878048782,31.735239268292684,21.975609756097562,-24.363006363636362,31.695955,25.5
155,292,2008,5,31,-24.403364791666665,31.729993333333336,26.229166666666668,-24.412357692307694,31.72931717948718,24.871794871794872,-24.30627260869565,31.73584152173913,25.847826086956523
156,293,2008,6,1,-24.418374166666666,31.739521666666665,25.916666666666668,-24.418164516129032,31.734036451612905,26.806451612903224,-24.311380232558136,31.73944976744186,26.674418604651162
157,294,2008,6,2,-24.401733750000002,31.776747708333332,27.125,-24.394621666666666,31.77340619047619,27.642857142857142,-24.30912,31.68793276595745,27.21276595744681
158,295,2008,6,3,-24.372934375,31.77332229166667,26.020833333333332,-24.369753333333335,31.770084166666667,25.666666666666668,-24.29447913043478,31.72754804347826,25.434782608695652
159,296,2008,6,4,-24.297089375,31.759352500000002,25.104166666666668,-24.30470785714286,31.766584285714284,23.5,-24.264408297872343,31.667145744680848,26.51063829787234
160,297,2008,6,5,-24.279006666666664,31.672542083333337,23.583333333333332,-24.28225857142857,31.67441714285714,22.952380952380953,-24.258364772727273,31.630960227272727,23.727272727272727
161,298,2008,6,6,-24.268364166666668,31.653892916666667,23.458333333333332,-24.268628695652172,31.65301,22.52173913043478,-24.261001818181818,31.636733863636366,24.704545454545453
162,299,2008,6,7,-24.30285604166667,31.660822291666666,24.8125,-24.30599611111111,31.660999444444446,25.61111111111111,-24.244595333333333,31.64950177777778,24.8
